_id,FSA,BEV,PHEV,TotalEV,City Name
471,N8H,38.0,39.0,77,Unknown
472,N8M,25.0,26.0,51,Unknown
473,N8N,102.0,58.0,160,Unknown
474,N8P,44.0,38.0,82,Unknown
475,N8R,16.0,21.0,37,Unknown
476,N8S,31.0,33.0,64,Unknown
477,N8T,14.0,16.0,30,Unknown
478,N8W,41.0,34.0,75,Unknown
479,N8X,32.0,18.0,50,Unknown
480,N8Y,29.0,19.0,48,Unknown
481,N9A,20.0,35.0,55,Unknown
482,N9B,25.0,16.0,41,Unknown
483,N9C,9.0,14.0,23,Unknown
484,N9E,49.0,38.0,87,Unknown
485,N9G,53.0,36.0,89,Unknown
486,N9H,61.0,46.0,107,Unknown
487,N9J,85.0,54.0,139,Unknown
488,N9K,17.0,8.0,25,Unknown
489,N9T,1.0,,1,Unknown
490,N9V,58.0,45.0,103,Unknown
491,N9Y,58.0,34.0,92,Unknown
492,P0A,37.0,18.0,55,Unknown
493,P0B,47.0,18.0,65,Unknown
494,P0C,30.0,12.0,42,Unknown
495,P0E,11.0,10.0,21,Unknown
496,P0G,4.0,7.0,11,Unknown
497,P0H,54.0,48.0,102,Unknown
498,P0J,23.0,18.0,41,Unknown
499,P0K,5.0,5.0,10,Unknown
500,P0L,13.0,19.0,32,Unknown
501,P0M,60.0,74.0,134,Unknown
502,P0N,3.0,5.0,8,Unknown
503,P0P,18.0,21.0,39,Unknown
504,P0R,10.0,6.0,16,Unknown
505,P0S,14.0,3.0,17,Unknown
506,P0T,25.0,30.0,55,Unknown
507,P0V,5.0,7.0,12,Unknown
508,P0W,3.0,1.0,4,Unknown
509,P0X,11.0,8.0,19,Unknown
510,P1A,17.0,14.0,31,Unknown
511,P1B,47.0,49.0,96,Unknown
512,P1C,18.0,9.0,27,Unknown
513,P1H,63.0,29.0,92,Unknown
514,P1L,58.0,35.0,93,Unknown
515,P1P,32.0,16.0,48,Unknown
516,P2A,46.0,13.0,59,Unknown
517,P2B,12.0,12.0,24,Unknown
518,P2N,1.0,3.0,4,Unknown
519,P3A,41.0,31.0,72,Unknown
520,P3B,28.0,23.0,51,Unknown
521,P3C,15.0,19.0,34,Unknown
522,P3E,105.0,68.0,173,Unknown
523,P3G,28.0,22.0,50,Unknown
524,P3L,5.0,8.0,13,Unknown
525,P3N,8.0,11.0,19,Unknown
526,P3P,41.0,42.0,83,Unknown
527,P3S,1.0,,1,Unknown
528,P3Y,14.0,11.0,25,Unknown
529,P4N,13.0,18.0,31,Unknown
530,P4P,2.0,2.0,4,Unknown
531,P4R,6.0,8.0,14,Unknown
532,P5A,2.0,4.0,6,Unknown
533,P5E,3.0,5.0,8,Unknown
534,P5N,9.0,11.0,20,Unknown
535,P6A,34.0,33.0,67,Unknown
536,P6B,27.0,11.0,38,Unknown
537,P6C,9.0,4.0,13,Unknown
538,P7A,27.0,37.0,64,Unknown
539,P7B,32.0,31.0,63,Unknown
540,P7C,19.0,15.0,34,Unknown
541,P7E,10.0,21.0,31,Unknown
542,P7G,27.0,24.0,51,Unknown
543,P7J,9.0,6.0,15,Unknown
544,P7K,7.0,6.0,13,Unknown
545,P7L,3.0,2.0,5,Unknown
546,P8N,7.0,8.0,15,Unknown
547,P8T,4.0,6.0,10,Unknown
548,P9A,4.0,6.0,10,Unknown
549,P9N,18.0,8.0,26,Unknown
